ID,Unnamed: 0,Location,URL,Size (m²),Condominio Content,Price By Month,Price Condominio,Whatsapp Contact
374,373,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
410,409,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
446,445,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
483,482,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
518,517,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
554,553,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
590,589,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
626,625,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
662,661,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
699,698,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
734,733,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
770,769,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
806,805,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
842,841,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
878,877,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
915,914,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
950,949,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
986,985,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
1023,1022,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
1058,1057,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
